,player_name,0304_salary_adjusted,0405_salary_adjusted,0506_salary_adjusted,0607_salary_adjusted,0708_salary_adjusted,0809_salary_adjusted,0910_salary_adjusted,1011_salary_adjusted,1112_salary_adjusted,1213_salary_adjusted,1314_salary_adjusted,1415_salary_adjusted,1516_salary_adjusted,1617_salary_adjusted,1718_salary_adjusted,1819_salary_adjusted,1920_salary_adjusted,2021_salary_adjusted,2122_salary_adjusted,2223_salary_adjusted,2324_salary,2425_salary_predicted,2526_salary_predicted,2627_salary_predicted
482,Carlos Delfino,,"$1,408,797 ","$1,477,283 ","$1,514,822 ","$2,656,805 ",,"$4,808,169 ","$4,758,050 ","$4,594,538 ","$3,873,717 ","$4,124,172","$4,040,440",,,,,,,,,,,,
483,Tony Allen,,"$1,408,797 ","$1,477,283 ","$1,514,822 ","$2,656,805 ","$3,385,405 ","$3,434,406 ","$4,078,329 ","$4,135,084 ","$4,261,089 ","$6,344,880","$6,216,062","$6,208,378","$6,147,072","$1,779,864",,,,,,,,,
484,Kevin Martin,,"$1,362,124 ","$1,428,142 ","$1,464,526 ","$2,571,447 ","$11,862,914 ","$13,985,137 ","$15,089,824 ","$15,122,386 ","$16,708,216 ","$8,248,344","$8,444,520","$9,191,471","$4,101,326",,,,,,,,,,
485,Sasha Vujacic,,"$1,322,762 ","$1,387,009 ","$1,422,292 ","$2,498,674 ","$6,127,430 ","$6,868,813 ","$7,443,104 ",,,"$88,563",,"$1,683,893","$1,734,209",,,,,,,,,,
486,Beno Udrih,,"$1,314,702 ","$1,378,417 ","$1,413,530 ","$3,605,821 ","$7,562,995 ","$8,286,261 ","$8,807,287 ","$9,091,148 ","$10,084,578 ","$1,614,490","$2,582,152","$2,583,262","$1,205,355",,,,,,,,,,
487,David Harrison,,"$1,305,142 ","$1,368,362 ","$1,403,191 ","$2,466,484 ",,,,,,,,,,,,,,,,,,,
488,Didier Ilunga-Mbenga,,"$1,249,598 ","$1,340,635 ","$2,378,898 ","$3,532,044 ","$3,862,880 ","$1,317,590 ","$1,453,936 ",,,,,,,,,,,,,,,,
489,Anderson Varejao,,"$1,230,854 ","$1,320,526 ","$1,380,934 ","$7,617,117 ","$7,833,124 ","$8,654,705 ","$9,899,216 ","$10,107,985 ","$10,846,409 ","$11,547,682","$12,183,482","$12,613,654","$13,341,184",,,,"$2,461,677",,,,,,
490,Mamadou N'diaye,,"$1,171,498 ",,,,,,,,,,,,,,,,,,,,,,
491,Laron Profit,,"$1,163,760 ","$1,135,347 ",,,,,,,,,,,,,,,,,,,,,
492,Lee Nailon,,"$1,163,760 ","$1,273,314 ",,,,,,,,,,,,,,,,,,,,,
493,DerMarr Johnson,,"$1,163,760 ","$1,273,314 ","$1,263,320 ","$60,019 ",,,,,,,,,,,,,,,,,,,
494,Mateen Cleaves,,"$1,149,567 ","$465,846 ",,,,,,,,,,,,,,,,,,,,,
495,Aleksandar Radojevic,,"$1,124,710 ",,,,,,,,,,,,,,,,,,,,,,
496,Tierre Brown,,"$1,124,710 ",,,,,,,,,,,,,,,,,,,,,,
497,Eddie Gill,,"$1,124,710 ","$1,248,544 ",,"$214,873 ","$524,890 ",,,,,,,,,,,,,,,,,,
498,Maurice Evans,,"$1,085,660 ","$2,285,174 ","$2,365,814 ","$2,474,567 ","$3,385,405 ","$3,434,406 ","$3,398,607 ","$1,605,681 ",,,,,,,,,,,,,,,
499,Matt Barnes,,"$1,085,660 ","$1,041,829 ","$1,126,435 ","$4,266,496 ","$1,254,872 ","$2,198,020 ","$2,399,416 ","$2,502,317 ","$1,103,220 ","$4,124,172","$4,222,260","$4,398,636","$8,001,460","$7,742,546",,,,,,,,,
500,Junior Harrington,,"$1,085,660 ",,"$570,359 ",,,,,,,,,,,,,,,,,,,,
501,Smush Parker,,"$1,085,660 ","$1,135,347 ","$1,165,546 ","$3,199,872 ","$2,247,909 ",,,,,,,,,,,,,,,,,,
502,Josh Davis,,"$968,510 ","$294,029 ",,,,,,"$412,249 ",,,"$24,864",,,,,,,,,,,,
503,Quinton Ross,,"$968,510 ","$1,066,414 ","$1,126,435 ","$1,174,774 ","$1,157,750 ","$1,419,566 ","$1,558,379 ",,,,,,,,,,,,,,,,
504,Ronald Dupree,,"$968,510 ","$1,095,928 ","$1,126,435 ","$1,174,774 ",,,"$79,381 ",,,,,,,,,,,,,,,,
505,Tommy Smith,,"$968,510 ",,,,,,,,,,,,,,,,,,,,,,
506,Peter John Ramos,,"$937,198 ","$1,005,476 ","$561,918 ",,,,,,,,,,,,,,,,,,,,
507,Lionel Chalmers,,"$702,899 ","$1,039,068 ",,,,,,,,,,,,,,,,,,,,,
508,Royal Ivey,,"$663,849 ","$977,670 ","$1,087,327 ","$1,174,774 ","$1,157,750 ","$1,442,450 ","$1,631,331 ","$1,575,270 ","$1,579,399 ","$94,968",,,,,,,,,,,,,
509,Donta Smith,,"$663,849 ","$977,670 ",,,,,,,,,,,,,,,,,,,,,
510,Pape Sow,,"$601,801 ","$977,670 ","$1,087,327 ",,,,,,,,,,,,,,,,,,,,
511,Matt Bonner,,"$601,801 ","$3,046,899 ","$2,920,758 ","$3,808,558 ","$4,044,882 ","$4,451,513 ","$4,078,329 ","$4,351,684 ","$4,687,198 ","$5,006,110","$1,800,780","$1,861,504",,,,,,,,,,,
512,Romain Sato,,"$601,801 ","$1,039,070 ",,,,,,,,,,,,,,,,,,,,,
513,Erik Daniels,,"$601,801 ",,,,,,,,,,,,,,,,,,,,,,
514,Jackson Vroman,,"$601,801 ","$1,039,070 ",,,,,,,,,,,,,,,,,,,,,
515,Mario Kasun,,"$601,801 ","$1,039,068 ","$1,342,893 ",,,,,,,,,,,,,,,,,,,,
516,Damien Wilkins,,"$601,801 ","$3,808,624 ","$3,943,024 ","$4,124,279 ","$4,197,902 ","$4,533,416 ","$1,017,755 ","$1,504,825 ","$1,579,399 ",,,,,"$1,200,819",,,,,,,,,
517,Trevor Ariza,,"$601,801 ","$1,039,070 ","$4,527,176 ","$4,408,712 ","$4,197,902 ","$8,042,006 ","$8,594,833 ","$8,914,245 ","$9,373,054 ","$9,805,733","$10,691,627","$10,181,740","$9,589,432","$8,951,445","$17,638,329","$14,113,187","$14,712,276","$2,881,021",,,,,
518,Antonio Burks,,"$601,801 ","$977,670 ",,,,,,,,,,,,,,,,,,,,,
519,Andre Emmett,,"$601,801 ","$977,670 ",,,,,,"$80,644 ",,,,,,,,,,,,,,,
520,John Edwards,,"$601,801 ","$1,523,449 ","$1,577,209 ",,,,,,,,,,,,,,,,,,,,
521,Andre Barrett,,"$601,801 ",,"$1,087,327 ",,,,,,,,,,,,,,,,,,,,
522,Luis Flores,,"$601,801 ",,,,,,,,,,,,,,,,,,,,,,
523,Horace Jenkins,,"$601,801 ",,,,,,,,,,,,,,,,,,,,,,
524,Arthur Johnson,,"$601,801 ",,,,,,,,,,,,,,,,,,,,,,
525,Jared Reiner,,"$601,801 ","$369,607 ","$579,631 ",,,,,,,,,,,,,,,,,,,,
526,Chris Duhon,,"$601,801 ","$4,265,659 ","$4,416,187 ","$4,619,193 ","$7,562,995 ","$8,286,261 ","$4,758,050 ","$4,594,538 ","$4,751,760 ","$1,903,464",,,,,,,,,,,,,
527,Bernard Robinson,,"$601,801 ","$977,670 ","$1,460,379 ","$1,535,938 ",,,,,,,,,,,,,,,,,,,
528,Justin Reed,,"$601,801 ","$977,670 ","$1,898,493 ","$2,042,940 ","$2,130,097 ",,,,,,,,,,,,,,,,,,
529,Matt Freije,,"$594,463 ",,"$213,158 ",,,,,,,,,,,,,,,,,,,,
530,Corsley Edwards,,"$499,055 ",,,,,,,,,,,,,,,,,,,,,,
531,Tony Bobbitt,,"$477,038 ",,,,,,,,,,,,,,,,,,,,,,
532,Anthony Goldwire,,"$182,305 ","$113,728 ",,,,,,,,,,,,,,,,,,,,,
533,Yuta Tabuse,,"$168,798 ",,,,,,,,,,,,,,,,,,,,,,
534,Awvee Storey,,"$132,102 ","$977,670 ",,"$1,011,894 ",,,,,,,,,,,,,,,,,,,
535,Geno Carlisle,,"$102,746 ",,,,,,,,,,,,,,,,,,,,,,
536,Anthony Miller,,"$53,292 ",,,,,,,,,,,,,,,,,,,,,,
537,Andrew Bogut,,,"$6,612,564 ","$6,814,072 ","$7,098,766 ","$8,523,516 ","$13,737,627 ","$14,953,873 ","$15,752,704 ","$16,979,796 ","$18,019,460","$16,128,162","$14,900,108","$14,028,082","$1,304,987","$572,530",,,,,,,,
538,Sarunas Jasikevicius,,,"$6,093,799 ","$5,841,517 ",,,,,,,,,,,,,,,,,,,,
539,Marvin Williams,,,"$5,916,408 ","$6,096,792 ","$6,351,447 ","$7,632,251 ","$10,303,220 ","$9,125,261 ","$9,845,440 ","$10,701,145 ","$9,517,320","$8,702,487","$8,691,729","$15,060,326","$15,929,642","$16,565,331","$699,040",,,,,,,
540,Deron Williams,,,"$5,312,879 ","$5,475,021 ","$5,703,793 ","$6,864,856 ","$16,930,114 ","$20,310,285 ","$21,475,931 ","$22,180,643 ","$23,433,078","$24,558,998","$13,476,850","$18,300,471","$6,622,602","$6,437,739",,,,,,,,
541,Chris Paul,,,"$4,790,092 ","$4,936,316 ","$5,142,493 ","$6,194,193 ","$18,573,958 ","$20,310,286 ","$21,475,931 ","$22,957,532 ","$23,689,793","$24,949,488","$26,657,156","$28,115,265","$29,357,063","$41,925,309","$44,545,016","$47,537,680","$33,590,405","$28,400,000","$30,800,000","$30,800,000",$0,$0
542,Raymond Felton,,,"$4,337,810 ","$4,469,987 ","$4,656,795 ","$5,618,034 ","$7,557,337 ","$10,195,822 ","$9,924,203 ","$5,164,956 ","$5,304,320","$5,420,406","$5,637,207","$1,907,631","$2,816,865","$2,814,944",,,,,,,,
543,Martell Webster,,,"$3,939,824 ","$4,060,088 ","$4,229,633 ","$5,106,725 ","$5,967,625 ","$6,525,326 ","$6,899,684 ","$2,840,725 ","$6,535,227","$6,690,658","$7,094,313","$3,073,536",,,,,,,,,,
544,Arvydas Macijauskas,,,"$3,808,624 ","$730,189 ","$711,082 ",,,,,,,,,,,,,,,,,,,
545,Charlie Villanueva,,,"$3,596,682 ","$3,706,267 ","$3,861,178 ","$4,669,218 ","$8,929,457 ","$9,543,290 ","$9,897,949 ","$10,407,388 ","$10,887,815","$1,637,073","$1,861,504",,,,,,,,,,,
546,Fabricio Oberto,,,"$3,542,020 ","$3,650,948 ","$5,119,795 ","$4,874,983 ","$5,357,673 ","$1,349,491 ",,,,,,,,,,,,,,,,
547,Jose Calderon,,,"$3,336,355 ","$3,407,553 ","$3,515,029 ","$10,072,282 ","$11,290,968 ","$12,234,987 ","$12,839,756 ","$14,263,791 ","$8,618,340","$8,823,316","$9,191,891","$9,476,851","$2,816,865","$2,814,944",,,,,,,,
548,Channing Frye,,,"$3,295,039 ","$3,395,382 ","$3,537,266 ","$4,284,256 ","$2,747,525 ","$7,069,103 ","$7,351,262 ","$7,747,435 ","$8,121,447","$10,665,629","$10,173,084","$9,598,002","$8,976,742","$2,814,944",,,,,,,,
549,Ike Diogu,,,"$3,028,862 ","$3,121,123 ","$3,251,582 ","$3,944,434 ","$1,215,616 ","$827,590 ","$84,051 ",,,,,,,,,,,,,,,
550,Andrew Bynum,,,"$2,877,309 ","$2,964,979 ","$3,088,943 ","$3,750,081 ","$17,209,122 ","$18,624,369 ","$19,559,608 ","$21,270,586 ","$8,882,832",,,,,,,,,,,,,
551,Yaroslav Korolev,,,"$2,596,689 ","$2,675,824 ",,,,,,,,,,,,,,,,,,,,
552,Sean May,,,"$2,466,891 ","$2,542,111 ","$2,648,299 ","$3,603,462 ","$1,215,616 ",,,,,,,,,,,,,,,,,
553,Rashad McCants,,,"$2,343,675 ","$2,415,058 ","$2,516,038 ","$3,548,075 ",,,,,,,,,,,,,,,,,,
554,Antoine Wright,,,"$2,226,308 ","$2,294,139 ","$2,390,091 ","$2,437,491 ","$2,899,394 ","$1,349,491 ",,,,,,,,,,,,,,,,
555,Joey Graham,,,"$2,115,157 ","$2,179,528 ","$2,270,629 ","$3,316,592 ","$1,215,616 ","$1,349,491 ",,,,,,,,,,,,,,,,
556,Jermaine Jackson,,,"$2,064,376 ",,,,,,,,,,,,,,,,,,,,,
557,Danny Granger,,,"$2,009,308 ","$2,070,526 ","$2,157,140 ","$3,154,933 ","$13,642,150 ","$14,917,442 ","$15,773,582 ","$16,861,784 ","$18,246,912","$2,610,746","$2,607,518",,,,,,,,,,,
558,Gerald Green,,,"$1,908,943 ","$1,967,131 ","$2,049,283 ","$1,157,750 ",,,"$678,676 ","$4,519,337 ","$4,441,416","$4,351,243","$1,692,276","$1,734,209","$1,671,020","$1,778,650",,,,,,,,
559,Hakim Warrick,,,"$1,822,838 ","$1,878,456 ","$1,956,956 ","$2,869,607 ","$4,121,288 ","$5,777,632 ","$5,250,901 ","$5,164,956 ",,,,,,,,,,,,,,
560,Julius Hodge,,,"$1,750,078 ","$1,803,276 ",,,,,,,,,,,,,,,,,,,,
561,Nate Robinson,,,"$1,679,877 ","$1,731,250 ","$1,803,533 ","$2,735,650 ","$5,495,050 ","$5,709,660 ","$7,198,076 ","$1,480,195 ","$2,558,255","$2,619,100","$32,849",,,,,,,,,,,
562,Jarrett Jack,,,"$1,612,784 ","$1,661,853 ","$1,731,344 ","$2,711,876 ","$6,181,932 ","$6,253,437 ","$6,563,626 ","$7,205,115 ","$7,994,549","$7,832,238","$7,822,556","$1,932,275","$2,816,865",,,,,,,,,
563,Francisco Garcia,,,"$1,548,434 ","$1,595,610 ","$1,662,226 ","$2,685,918 ","$7,967,823 ","$7,476,936 ","$7,613,807 ","$7,876,559 ","$1,606,494","$1,637,073",,,,,,,,,,,,
564,Sergey Monya,,,"$1,548,434 ","$146,037 ",,,,,,,,,,,,,,,,,,,,
565,Luther Head,,,"$1,486,277 ","$1,531,646 ","$1,595,669 ","$2,657,378 ","$1,215,616 ","$1,349,491 ",,,,,,,,,,,,,,,,
566,Darrick Martin,,,"$1,442,167 ","$1,720,835 ","$1,734,458 ",,,,,,,,,,,,,,,,,,,
567,Johan Petro,,,"$1,426,863 ","$1,470,310 ","$1,531,842 ","$2,626,929 ","$1,215,616 ","$4,418,189 ","$4,266,357 ","$4,519,337 ",,,,,,,,,,,,,,
568,Jason Maxiell,,,"$1,379,697 ","$1,421,591 ","$1,480,986 ","$2,542,537 ","$6,868,813 ","$6,797,215 ","$6,563,626 ","$6,456,196 ","$3,172,440","$1,637,073",,,,,,,,,,,,
569,Linas Kleiza,,,"$1,339,660 ","$1,380,584 ","$1,438,321 ","$2,470,659 ",,"$6,790,417 ","$6,045,100 ","$5,939,700 ","$5,837,290",,,,,,,,,,,,,
570,Wayne Simien,,,"$1,321,927 ","$1,362,183 ",,,,,,,,,,,,,,,,,,,,
571,David Lee,,,"$1,312,238 ","$1,352,369 ","$1,408,797 ","$2,421,286 ","$9,616,338 ","$14,681,984 ","$15,240,741 ","$16,455,552 ","$17,610,850","$18,663,106","$21,258,450","$1,907,631",,,,,,,,,,
572,Terence Morris,,,"$1,273,314 ",,,,,,,,,,,,,,,,,,,,,
573,Charles Smith,,,"$1,174,767 ",,,,,,,,,,,,,,,,,,,,,
574,Pat Burke,,,"$1,142,587 ","$1,182,907 ",,,,,,,,,,,,,,,,,,,,
575,Salim Stoudamire,,,"$1,028,328 ","$1,064,616 ","$1,113,555 ",,,,,,,,,,,,,,,,,,,
576,Ha Seung-Jin,,,"$977,670 ","$1,087,327 ",,,,,,,,,,,,,,,,,,,,
577,Charlie Bell,,,"$977,670 ","$1,087,327 ","$4,408,712 ","$4,542,509 ","$4,940,050 ","$6,046,519 ","$5,382,069 ",,,,,,,,,,,,,,,
578,James Singleton,,,"$952,156 ","$985,756 ",,"$1,118,902 ","$1,415,235 ",,,,,,,,,,,,,,,,,
579,Louis Williams,,,"$685,552 ","$969,997 ","$1,095,934 ","$6,093,729 ","$6,831,035 ","$6,797,215 ","$6,794,666 ","$6,456,196 ","$6,630,400","$6,775,508","$8,691,729","$8,605,900","$8,467,583","$9,407,109","$9,254,549","$9,195,172","$5,452,987",,,,,
580,Daniel Ewing,,,"$685,552 ","$969,997 ",,,,,,,,,,,,,,,,,,,,
581,Monta Ellis,,,"$683,666 ","$969,997 ","$1,095,934 ","$14,895,784 ","$15,111,389 ","$14,953,873 ","$14,439,979 ","$14,203,631 ","$10,608,640","$10,840,813","$12,789,259","$13,232,801","$2,716,158","$2,640,340",,"$2,580,855","$2,448,827",,,,,
582,Ryan Gomes,,,"$653,197 ","$969,997 ","$1,095,934 ","$4,942,692 ","$5,313,027 ","$5,437,772 ","$5,250,901 ","$5,164,956 ","$628,804",,,,,,,,,,,,,
583,Chris Taft,,,"$645,580 ","$969,997 ",,,,,,,,,,,,,,,,,,,,
584,Donell Taylor,,,"$607,493 ","$969,997 ",,,,,,,,,,,,,,,,,,,,
585,Andray Blatche,,,"$607,493 ","$969,997 ","$3,512,748 ","$3,709,956 ","$4,121,288 ","$8,020,713 ","$8,456,685 ","$10,294,909 ","$11,637,176",,,,,,,,,,,,,
586,Andre Owens,,,"$607,493 ","$988,384 ","$977,676 ",,,,,,,,,,,,,,,,,,,
587,Robert Whaley,,,"$607,493 ","$121,249 ",,,,,,,,,,,,,,,,,,,,
588,CJ Miles,,,"$607,493 ","$969,997 ","$1,095,934 ","$5,010,400 ","$5,082,922 ","$5,029,939 ","$4,857,083 ","$2,873,007 ","$2,823,471","$5,227,708","$5,456,202","$5,634,959","$9,600,436","$9,799,071",,,"$165,575",,,,,
589,Ronnie Price,,,"$607,493 ","$969,997 ","$1,564,381 ","$1,608,744 ","$1,717,203 ","$1,876,031 ","$1,403,971 ","$1,480,195 ","$1,606,494","$1,637,073","$1,861,504","$3,997,104","$2,954,527",,,,,,,,,
590,Dijon Thompson,,,"$607,493 ","$130,121 ",,,,,,,,,,,,,,,,,,,,
591,Shavlik Randolph,,,"$607,493 ","$1,460,379 ","$1,535,938 ","$1,118,902 ","$471,944 ",,,"$361,916 ","$388,352","$1,526,646",,,,,,,,,,,,
592,Travis Diener,,,"$607,493 ","$969,997 ","$2,133,248 ","$2,193,742 ","$2,390,347 ",,,,,,,,,,,,,,,,,
593,Jackie Butler,,,"$607,493 ","$3,212,834 ","$3,342,088 ","$3,455,821 ",,,,,,,,,,,,,,,,,,
594,Brandon Bass,,,"$607,493 ","$969,997 ","$1,095,934 ","$1,118,902 ","$5,495,050 ","$5,437,772 ","$5,579,082 ","$8,393,055 ","$8,565,588","$8,640,326","$3,725,027","$1,907,631",,,,,,,,,,
595,Dwayne Jones,,,"$607,493 ","$969,997 ","$1,095,934 ","$63,391 ",,,,,,,,,,,,,,,,,,
596,Bracey Wright,,,"$607,493 ","$969,997 ",,,,,,,,,,,,,,,,,,,,
597,Ersan Ilyasova,,,"$607,493 ","$969,997 ",,,"$2,884,901 ","$3,154,587 ","$3,335,635 ","$10,200,790 ","$10,024,911","$9,821,378","$9,809,237","$10,327,080","$7,880,039","$8,231,220","$8,097,730","$1,373,002","$165,575",,,,,
598,Earl Barron,,,"$607,493 ","$1,087,327 ","$1,384,233 ",,,"$256,333 ","$243,626 ","$438,667 ",,"$484,931",,,,,,,,,,,,
599,Lawrence Roberts,,,"$607,493 ","$969,997 ",,,,,,,,,,,,,,,,,,,,
600,Anthony Roberson,,,"$607,493 ","$390,083 ",,"$1,080,054 ",,,,,,,,,,,,,,,,,,
601,Devin Green,,,"$607,493 ",,,,,,,,,,,,,,,,,,,,,
602,Von Wafer,,,"$607,493 ","$35,487 ","$1,095,934 ","$1,118,902 ",,"$1,245,048 ","$1,303,116 ",,,,,,,,,,,,,,,
603,Boniface N'Dong,,,"$607,493 ","$1,225,563 ",,,,,,,,,,,,,,,,,,,,
604,Amir Johnson,,,"$607,493 ","$969,997 ","$5,214,605 ","$4,965,261 ","$5,037,129 ","$6,797,215 ","$7,219,989 ","$7,747,435 ","$8,248,344","$8,702,487","$14,900,108","$14,752,972","$13,306,203","$2,814,944",,,,,,,,
605,Alex Acker,,,"$607,493 ","$1,225,563 ",,"$963,509 ",,,,,,,,,,,,,,,,,,
606,Rawle Marshall,,,"$607,493 ","$969,997 ",,,,,,,,,,,,,,,,,,,,
607,Josh Powell,,,"$607,493 ","$1,087,327 ","$1,137,732 ","$1,157,750 ","$1,317,590 ","$1,454,072 ",,,,,,,,,,,,,,,,
608,Martynas Andriuskevicius,,,"$607,493 ","$969,997 ",,,,,,,,,,,,,,,,,,,,
609,Eddie Basden,,,"$607,493 ",,,,,,,,,,,,,,,,,,,,,
610,Kevin Burleson,,,"$607,493 ","$102,226 ",,,,,,,,,,,,,,,,,,,,
611,Alan Anderson,,,"$607,493 ","$149,150 ",,,,,,"$1,142,901 ","$1,202,871","$1,586,415","$4,966,702","$1,617,230",,,,,,,,,,
612,Orien Greene,,,"$607,493 ","$969,997 ","$109,593 ",,,,,,,,,,,,,,,,,,,
613,Esteban Batista,,,"$607,493 ","$969,997 ",,,,,,,,,,,,,,,,,,,,
614,Gerald Fitch,,,"$548,225 ",,,,,,,,,,,,,,,,,,,,,
615,John Thomas,,,"$429,792 ",,,,,,,,,,,,,,,,,,,,,
616,Aaron Miles,,,"$237,070 ",,,,,,,,,,,,,,,,,,,,,
617,Sean Banks,,,"$229,661 ",,,,,,,,,,,,,,,,,,,,,
618,James Thomas,,,"$226,533 ",,,,,,,,,,,,,,,,,,,,,
619,Sharrod Ford,,,"$177,803 ",,,,,,,,,,,,,,,,,,,,,
620,Deng Gai,,,"$140,760 ",,,,,,,,,,,,,,,,,,,,,
621,Randy Holcomb,,,"$79,269 ",,,,,,,,,,,,,,,,,,,,,
622,Stephen Graham,,,"$74,085 ","$378,536 ","$1,095,934 ","$1,118,902 ","$1,215,616 ","$1,349,491 ",,,,,,,,,,,,,,,,
623,Matt Walsh,,,"$59,268 ",,,,,,,,,,,,,,,,,,,,,
624,John Lucas,,,"$51,859 ","$1,022,265 ",,,,"$283,123 ","$1,202,262 ","$1,936,858 ","$2,030,361","$611,620",,"$713,483",,,,,,,,,,
625,Melvin Sanders,,,"$37,042 ",,,,,,,,,,,,,,,,,,,,,
626,Alex Scales,,,"$37,042 ",,,,,,,,,,,,,,,,,,,,,
627,Andrea Bargnani,,,,"$6,573,460 ","$6,881,687 ","$7,009,739 ","$8,967,223 ","$11,555,265 ","$12,142,709 ","$12,912,392 ","$13,958,737","$14,918,550","$1,692,276",,,,,,,,,,,
628,Anthony Parker,,,,"$6,060,574 ","$6,186,419 ","$6,161,437 ","$3,632,544 ","$3,882,161 ","$2,953,632 ",,,,,,,,,,,,,,,
629,LaMarcus Aldridge,,,,"$5,881,415 ","$6,157,065 ","$6,271,666 ","$8,029,405 ","$15,285,577 ","$16,241,038 ","$16,786,110 ","$17,892,563","$18,896,830","$24,447,352","$25,295,207","$25,960,414","$26,277,600","$30,077,284","$20,261,954","$2,881,021",,,,,
630,Jorge Garbajosa,,,,"$5,476,423 ","$5,688,661 ","$5,890,605 ",,,,,,,,,,,,,,,,,,
631,Adam Morrison,,,,"$5,281,725 ","$5,529,208 ","$5,632,231 ","$7,222,185 ",,,,,,,,,,,,,,,,,
632,Tyrus Thomas,,,,"$4,761,947 ","$4,985,144 ","$5,077,945 ","$6,516,578 ","$8,988,052 ","$9,590,463 ","$10,329,913 ","$11,032,751","$11,761,615",,,,,,,,,,,,
633,Shelden Williams,,,,"$4,312,266 ","$4,514,294 ","$4,598,409 ","$1,134,036 ","$1,245,048 ","$1,303,116 ",,,,,,,,,,,,,,,
634,Brandon Roy,,,,"$3,916,562 ","$4,100,273 ","$4,176,561 ","$5,372,533 ","$18,380,349 ","$21,045,802 ","$27,709,742 ","$22,561,707","$17,901,429",,,,,,,,,,,,
635,Randy Foye,,,,"$3,575,359 ","$3,742,911 ","$3,812,724 ","$4,912,247 ","$5,777,632 ","$5,579,082 ","$3,228,098 ","$3,806,928","$3,729,637","$3,892,653","$3,073,536",,,,,,,,,,
636,Rudy Gay,,,,"$3,274,594 ","$3,429,068 ","$3,492,925 ","$4,507,311 ","$18,493,523 ","$19,733,077 ","$21,254,484 ","$22,700,627","$24,015,541","$15,400,628","$16,392,191","$10,168,358","$11,861,423","$16,773,870","$16,666,250","$6,423,619","$6,184,500","$6,479,000",$0,$0,$0
637,Patrick O'Bryant,,,,"$3,010,893 ","$3,152,087 ","$2,031,243 ","$2,225,495 ",,,,,,,,,,,,,,,,,
638,Saer Sene,,,,"$2,860,357 ","$2,994,397 ","$3,050,114 ",,,,,,,,,,,,,,,,,,
639,JJ Redick,,,,"$2,717,357 ","$2,844,558 ","$2,897,527 ","$3,900,672 ","$9,855,961 ","$8,860,896 ","$7,747,435 ","$8,248,344","$8,444,520","$8,797,272","$9,070,004","$27,822,061","$14,404,635","$15,601,203","$14,957,902",,,,,,
640,Vassilis Spanoulis,,,,"$2,628,683 ","$2,764,689 ",,,,,,,,,,,,,,,,,,,
641,Walter Herrmann,,,,"$2,628,683 ","$2,764,689 ","$2,708,324 ",,,,,,,,,,,,,,,,,,
642,Hilton Armstrong,,,,"$2,581,366 ","$2,702,398 ","$2,752,740 ","$3,848,181 ","$1,349,491 ",,,"$375,792",,,,,,,,,,,,,
643,Thabo Sefolosha,,,,"$2,452,386 ","$2,567,236 ","$2,615,103 ","$3,791,074 ","$4,418,189 ","$4,331,993 ","$4,648,461 ","$4,949,006","$4,972,850","$4,966,702","$4,917,657","$6,350,687","$6,173,415","$2,966,954",,,,,,,
644,Ronnie Brewer,,,,"$2,329,889 ","$2,439,070 ","$2,484,454 ","$3,732,734 ","$6,511,732 ","$6,182,936 ","$1,380,991 ","$1,594,151",,,,,,,,,,,,,
645,Cedric Simmons,,,,"$2,213,175 ","$2,316,878 ","$2,359,979 ",,,,,,,,,,,,,,,,,,
646,Rodney Carney,,,,"$2,102,595 ","$2,201,170 ","$2,242,167 ","$1,174,826 ","$886,182 ",,,,,,,,,,,,,,,,
647,Shawne Williams,,,,"$1,997,448 ","$2,091,095 ","$2,130,042 ","$3,319,102 ","$1,203,392 ","$3,938,176 ","$4,077,733 ","$679,879","$1,424,329",,,,,,,,,,,,
648,Quincy Douby,,,,"$1,812,214 ","$1,897,054 ","$1,932,443 ","$117,482 ",,,,,,,,,,,,,,,,,
649,Renaldo Balkman,,,,"$1,739,662 ","$1,821,281 ","$1,855,093 ","$2,901,959 ","$2,277,067 ","$2,198,815 ","$2,162,825 ",,,,,,,,,,,,,,
650,Rajon Rondo,,,,"$1,670,089 ","$1,748,239 ","$1,780,831 ","$2,877,925 ","$12,358,575 ","$13,186,923 ","$14,203,631 ","$15,227,713","$16,048,742","$11,795,918","$17,211,801","$7,620,824","$10,582,997","$2,966,954","$8,620,474","$8,179,481",,,,,
651,Marcus Williams,,,,"$1,603,321 ","$1,696,770 ","$1,709,656 ","$1,174,826 ",,,,,,,,,,,,,,,,,
652,Josh Boone,,,,"$1,539,181 ","$1,611,370 ","$1,641,407 ","$2,825,785 ",,,,,,,,,,,,,,,,,
653,Kyle Lowry,,,,"$1,477,495 ","$1,546,860 ","$1,575,594 ","$2,795,602 ","$7,816,797 ","$7,548,170 ","$7,424,625 ","$7,880,341","$14,918,550","$14,900,108","$14,752,972","$34,963,505","$38,451,558","$38,517,776","$35,056,596","$29,428,824","$28,333,334","$29,682,540",$0,$0,$0
654,Shannon Brown,,,,"$1,418,437 ","$1,484,911 ","$1,080,054 ","$2,747,525 ","$2,990,774 ","$4,594,538 ","$4,519,337 ","$611,090","$268,298",,,,,,,,,,,,
655,Jordan Farmar,,,,"$1,371,471 ","$1,435,761 ","$1,462,495 ","$2,675,045 ","$5,097,911 ","$5,250,901 ","$1,936,858 ","$1,404,682","$2,610,746","$2,845,243","$102,011",,,,,,,,,,
